iterations,dataset_id,mae,mse,rmse,unique_subsets,num_clusters,actual_epsilon,step
0.15,32,0.038988095,0.001610642,0.0401328,31,5,0.15,0
0.15,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.15,0
0.15,34,0,0,0,255,8,0.15,0
0.15,35,0,0,0,255,8,0.15,0
0.15,36,0.01235119,0.000185126,0.013606106,63,6,0.15,0
0.15,37,0.103869048,0.018811473,0.137154922,63,6,0.15,0
0.15,38,0,0,0,255,8,0.15,0
0.15,39,0.141617063,0.049650416,0.222823732,63,6,0.15,0
0.15,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,43,0,0,0,255,8,0.15,0
0.15,44,0.021875,0.000673452,0.025950947,127,7,0.15,0
0.15,45,0,0,0,255,8,0.15,0
0.15,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,47,0,0,0,255,8,0.15,0
0.175,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.175,0
0.175,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.175,0
0.175,2,0.334002976,0.181994889,0.42660859,63,6,0.175,0
0.175,3,0.25,0.074127693,0.272264013,63,6,0.135411664,5
0.175,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.175,0
0.175,5,0.307217262,0.110805166,0.332874099,63,6,0.175,0
0.175,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.175,0
0.175,7,0.070386905,0.008339268,0.091319593,127,7,0.1579375,2
0.175,8,0,0,0,255,8,0.175,0
0.175,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.175,0
0.175,10,0.146577381,0.036373211,0.19071762,127,7,0.175,0
0.175,11,0.16953125,0.066567383,0.258006556,31,5,0.175,0
0.175,12,0,0,0,255,8,0.175,0
0.175,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.175,0
0.175,14,0,0,0,255,8,0.175,0
0.175,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.175,0
0.175,16,0.112574405,0.028730277,0.169500079,7,3,0.175,0
0.175,17,0.2,0.055325942,0.235214671,127,7,0.16625,1
0.175,18,0.139732143,0.026315481,0.162220469,127,7,0.175,0
0.175,19,0,0,0,255,8,0.175,0
0.175,20,0.168452381,0.045357143,0.212972165,3,2,0.175,0
0.175,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.175,0
0.175,22,0,0,0,255,8,0.175,0
0.175,23,0,0,0,255,8,0.175,0
0.175,24,0.641964286,0.43762702,0.661533839,3,2,0.175,0
0.175,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.175,0
0.175,26,0.278869048,0.111567261,0.334016857,127,7,0.175,0
0.175,27,0.026785714,0.001330871,0.036481103,127,7,0.175,0
0.175,28,0.075,0.005625,0.075,31,5,0.175,0
0.175,29,0.09375,0.009375,0.096824584,15,4,0.175,0
0.175,30,0,0,0,255,8,0.175,0
0.175,31,0.052827381,0.003880031,0.062289896,63,6,0.175,0
0.175,32,0.038988095,0.001610642,0.0401328,31,5,0.175,0
0.175,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.175,0
0.175,34,0,0,0,255,8,0.175,0
0.175,35,0,0,0,255,8,0.175,0
0.175,36,0.01235119,0.000185126,0.013606106,63,6,0.175,0
0.175,37,0.103869048,0.018811473,0.137154922,63,6,0.175,0
0.175,38,0,0,0,255,8,0.175,0
0.175,39,0.141617063,0.049650416,0.222823732,63,6,0.175,0
0.175,40,0.18452381,0.047989543,0.219065158,127,7,0.175,0
0.175,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.175,0
0.175,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.175,0
0.175,43,0,0,0,255,8,0.175,0
0.175,44,0.021875,0.000673452,0.025950947,127,7,0.175,0
0.175,45,0,0,0,255,8,0.175,0
0.175,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.175,0
0.175,47,0,0,0,255,8,0.175,0
0.2,0,0.140922619,0.036800418,0.191834351,127,7,0.2,0
0.2,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.2,0
0.2,2,0.334002976,0.181994889,0.42660859,63,6,0.2,0
0.2,3,0.25,0.074127693,0.272264013,63,6,0.139667459,7
0.2,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.2,0
0.2,5,0.307217262,0.110805166,0.332874099,63,6,0.2,0
0.2,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.2,0
0.2,7,0.070386905,0.008339268,0.091319593,127,7,0.16290125,4
0.2,8,0,0,0,255,8,0.2,0
